blockNumber,transactionLength,gasUsed,timestamp,blockSize
3912,0,0,1555395198,609
3913,0,0,1555395213,609
3914,0,0,1555395228,609
3915,0,0,1555395243,609
3916,0,0,1555395258,609
3917,0,0,1555395273,609
3927,0,0,1555395423,609
3928,4,526076,1555395438,2354
3929,358,47090522,1555395453,156342
3930,356,46843100,1555395468,155469
3931,345,45395815,1555395483,150689
3932,357,46975003,1555395498,155910
3933,354,46580190,1555395513,154604
3934,361,47500887,1555395528,157649
3935,366,48159186,1555395543,159825
3936,358,47106522,1555395558,156343
3937,358,47106458,1555395573,156340
3938,356,46843420,1555395588,155473
3939,366,48158674,1555395603,159824
3940,355,46711901,1555395618,155040
3941,358,47106522,1555395633,156340
3942,360,47328169,1555395648,157209
3943,365,48027219,1555395663,159387
3944,359,47238105,1555395678,156776
3945,351,46185505,1555395693,153299
3946,361,47501335,1555395708,157643
3947,361,47500887,1555395723,157648
3948,359,47238041,1555395738,156778
3949,359,47238233,1555395753,156777
3950,355,46711773,1555395768,155037
3951,361,47501271,1555395783,157651
3952,354,46579870,1555395798,154603
3953,366,48159122,1555395813,159823
3954,359,47238169,1555395828,156779
3955,366,48159186,1555395843,159824
3956,355,46711325,1555395858,155039
3957,362,47632854,1555395873,158080
3958,371,48817165,1555395888,162000
3959,359,47238169,1555395903,156778
3960,355,46711901,1555395918,155037
3961,365,48027283,1555395933,159384
3962,352,46317088,1555395948,153733
3963,363,47764373,1555395963,158516
3964,355,46711837,1555395978,155035
3965,367,48290513,1555395993,160258
3966,357,46974811,1555396008,155911
3967,362,47632790,1555396023,158086
3968,361,47501207,1555396038,157644
3969,361,47500887,1555396053,157649
3970,358,47106650,1555396068,156346
3971,348,45790756,1555396083,151993
3972,372,48948812,1555396098,162433
3973,352,46317024,1555396113,153733
3974,365,48027155,1555396128,159391
3975,361,47501399,1555396143,157649
3976,355,46711645,1555396158,155035
3977,364,47895956,1555396173,158954
3978,359,47237529,1555396188,156775
3979,359,47238233,1555396203,156777
3980,359,47238105,1555396218,156780
3981,353,46448607,1555396233,154170
3982,368,48422096,1555396248,160696
3983,353,46448607,1555396263,154170
3984,357,46975003,1555396278,155903
3985,366,48159250,1555396293,159820
3986,354,46580062,1555396308,154601
3987,359,47237849,1555396323,156775
3988,359,47237913,1555396338,156780
3989,353,46448607,1555396353,154169
3990,367,48290769,1555396368,160256
3991,363,47763861,1555396383,158513
3992,361,47501271,1555396398,157650
3993,360,47369624,1555396413,157213
3994,359,47238105,1555396428,156777
3995,359,47238041,1555396443,156778
3996,355,46711325,1555396458,155040
3997,362,47632982,1555396473,158082
3998,361,47501335,1555396488,157646
3999,361,47501335,1555396503,157646
4000,352,46316704,1555396518,153733
4001,366,48159122,1555396533,159823
4002,360,47369688,1555396548,157213
4003,354,46580062,1555396563,154601
4004,363,47764181,1555396578,158519
4005,360,47369624,1555396593,157214
4006,353,46448735,1555396608,154167
4007,366,48159250,1555396623,159822
4008,359,47238169,1555396638,156779
4009,354,46579742,1555396653,154604
4010,354,46580190,1555396668,154602
4011,360,47369624,1555396683,157216
4012,369,48553935,1555396698,161125
4013,361,47500951,1555396713,157648
4014,357,46974939,1555396728,155910
4015,355,46711773,1555396743,155037
4016,365,48027667,1555396758,159389
4017,358,47106202,1555396773,156339
4018,358,47106586,1555396788,156345
4019,363,47764437,1555396803,158519
4020,359,47238041,1555396818,156778
4021,354,46580318,1555396833,154601
4022,354,46579934,1555396848,154600
4023,366,48159186,1555396863,159826
4024,358,47106458,1555396878,156346
4029,0,0,1555396953,609
4030,1062,138617253,1555396968,462578
4031,598,78104216,1555396983,260738
4032,595,78250046,1555396998,259432
4033,358,47106458,1555397013,156341
4034,353,46448671,1555397028,154169
4035,378,49696151,1555397043,165042
4036,350,46053666,1555397058,152861
4037,360,47369688,1555397073,157214
